stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
135;136;0x0000000I64X;272;P;00:00:04:533;7672;26;;;;;36.802224;;61 376;448;0;3 812;0;;951;1 525;15 965;;4 360;155;4 516;27 802;0;
136;135;0x0000000I64X;270;B;00:00:04:500;1812;26;;;;;38.110254;;14 496;964;0;2 352;0;;31;52;6 710;;819;57;452;1 943;0;
137;137;0x0000000I64X;274;P;00:00:04:566;8444;25;;;;;38.458009;;67 552;433;0;3 618;0;;674;1 154;16 209;;5 947;101;5 211;32 459;0;
138;140;0x0000000I64X;280;P;00:00:04:666;10768;25;;;;;37.787642;;86 144;175;0;4 496;0;;2 126;3 159;16 435;;5 593;328;6 322;44 831;0;
139;138;0x0000000I64X;276;B;00:00:04:600;2607;25;;;;;38.149964;;20 856;958;0;3 225;0;;225;329;7 513;;1 487;119;1 378;4 177;0;
140;139;0x0000000I64X;278;B;00:00:04:633;1817;26;;;;;38.557095;;14 536;1 014;0;2 145;0;;38;82;6 519;;919;57;635;2 071;0;
141;144;0x0000000I64X;288;P;00:00:04:800;7686;25;;;;;36.889449;;61 488;448;0;3 731;0;;961;1 628;14 547;;4 903;120;4 888;28 256;0;
142;142;0x0000000I64X;284;B;00:00:04:733;2197;26;;;;;37.893410;;17 576;992;0;2 396;0;;107;157;6 967;;1 261;123;810;3 606;0;
143;141;0x0000000I64X;282;B;00:00:04:700;1507;31;;;;;38.531164;;12 056;1 003;0;1 913;0;;10;21;4 862;;761;69;284;2 059;0;
144;143;0x0000000I64X;286;B;00:00:04:766;1681;27;;;;;34.953120;;13 448;1 004;0;1 893;0;;50;84;5 991;;840;57;436;2 126;0;
145;146;0x0000000I64X;292;P;00:00:04:866;6495;25;;;;;35.772592;;51 960;579;0;3 403;0;;775;1 053;14 725;;4 419;112;4 210;20 737;0;
146;145;0x0000000I64X;290;B;00:00:04:833;1526;29;;;;;39.434728;;12 208;969;0;1 991;0;;45;87;5 470;;607;59;360;1 536;0;
147;148;0x0000000I64X;296;P;00:00:04:933;5444;25;;;;;35.832304;;43 552;618;0;3 192;0;;596;791;14 617;;3 562;108;3 362;14 971;0;
148;147;0x0000000I64X;294;B;00:00:04:900;1551;29;;;;;39.439811;;12 408;949;0;2 220;0;;17;31;6 269;;518;36;254;982;0;
149;150;0x0000000I64X;300;P;00:00:05:000;6351;25;;;;;37.993520;;50 808;406;0;3 626;0;;690;1 164;16 537;;4 274;107;4 376;17 873;0;
150;149;0x0000000I64X;298;B;00:00:04:966;2240;25;;;;;39.376184;;17 920;875;0;3 039;0;;154;266;8 357;;1 164;67;941;1 781;0;
151;152;0x0000000I64X;304;P;00:00:05:066;6142;25;;;;;38.830659;;49 136;438;0;3 985;0;;782;1 459;15 104;;3 744;96;4 422;17 278;0;
152;151;0x0000000I64X;302;B;00:00:05:033;1874;25;;;;;38.834924;;14 992;945;0;2 535;0;;42;78;6 670;;1 040;49;769;1 654;0;
153;153;0x0000000I64X;306;P;00:00:05:100;5637;25;;;;;39.211352;;45 096;589;0;3 705;0;;849;1 468;13 586;;3 868;78;3 844;15 234;0;
154;154;0x0000000I64X;308;P;00:00:05:133;6392;25;;;;;38.660920;;51 136;518;0;4 041;0;;1 336;2 208;13 277;;3 492;169;4 193;19 598;0;
155;155;0x0000000I64X;310;P;00:00:05:166;7969;25;;;;;38.278090;;63 752;472;0;3 894;0;;1 180;2 425;14 560;;4 089;146;4 385;30 547;0;
156;156;0x0000000I64X;312;P;00:00:05:200;8435;26;;;;;37.135175;;67 480;696;0;3 620;0;;1 623;2 918;11 698;;3 283;191;3 775;37 565;0;
157;157;0x0000000I64X;314;P;00:00:05:233;10476;26;;;;;36.855057;;83 808;515;0;3 906;0;;1 101;2 483;16 182;;4 222;124;4 356;49 034;0;
158;158;0x0000000I64X;316;P;00:00:05:266;10021;25;;;;;36.969340;;80 168;617;0;3 700;0;;1 345;2 465;13 810;;3 492;163;3 860;48 820;0;
